name,Attack,Clean_Loss,Clean_Acc,Adversarial_Loss,Adversarial_Acc,Attack_Success_Rate,Robustness_Gap
cifar2_ntrain2000__rep1,MIM,0.20399528741836548,0.9424999952316284,0.45488494634628296,0.9274999499320984,0.07250005006790161,0.01500004529953003
cifar2_ntrain2000__rep1,SA,0.20399528741836548,0.9424999952316284,0.3649153411388397,0.9325000047683716,0.06749999523162842,0.009999990463256836
cifar2_ntrain2000__rep2,FGSM,0.24782535433769226,0.9350000023841858,0.5649359226226807,0.9274999499320984,0.07250005006790161,0.007500052452087402
cifar2_ntrain2000__rep2,PGD,0.24782535433769226,0.9350000023841858,0.5229816436767578,0.9274999499320984,0.07250005006790161,0.007500052452087402
cifar2_ntrain2000__rep2,APGD,0.24782535433769226,0.9350000023841858,0.4968635141849518,0.9274999499320984,0.07250005006790161,0.007500052452087402
cifar2_ntrain2000__rep2,MIM,0.24782535433769226,0.9350000023841858,0.5686591267585754,0.9274999499320984,0.07250005006790161,0.007500052452087402
cifar2_ntrain2000__rep2,SA,0.24782535433769226,0.9350000023841858,0.5364693403244019,0.9325000047683716,0.06749999523162842,0.002499997615814209
cifar2_ntrain2000__rep3,FGSM,0.26366931200027466,0.92249995470047,0.585169792175293,0.92249995470047,0.07750004529953003,0.0
cifar2_ntrain2000__rep3,PGD,0.26366931200027466,0.92249995470047,0.540955662727356,0.92249995470047,0.07750004529953003,0.0
cifar2_ntrain2000__rep3,APGD,0.26366931200027466,0.92249995470047,0.5153107047080994,0.92249995470047,0.07750004529953003,0.0
cifar2_ntrain2000__rep3,MIM,0.26366931200027466,0.92249995470047,0.585547149181366,0.92249995470047,0.07750004529953003,0.0
cifar2_ntrain2000__rep3,SA,0.26366931200027466,0.92249995470047,0.5552787780761719,0.92249995470047,0.07750004529953003,0.0
cifar2_ntrain2000__rep4,FGSM,0.21925115585327148,0.9350000023841858,0.4686342775821686,0.9325000047683716,0.06749999523162842,0.002499997615814209
cifar2_ntrain2000__rep4,PGD,0.21925115585327148,0.9350000023841858,0.390686571598053,0.9325000047683716,0.06749999523162842,0.002499997615814209
cifar2_ntrain2000__rep4,APGD,0.21925115585327148,0.9350000023841858,0.34332743287086487,0.9325000047683716,0.06749999523162842,0.002499997615814209
cifar2_ntrain2000__rep4,MIM,0.21925115585327148,0.9350000023841858,0.4686342775821686,0.9325000047683716,0.06749999523162842,0.002499997615814209
cifar2_ntrain2000__rep4,SA,0.21925115585327148,0.9350000023841858,0.3959975242614746,0.9325000047683716,0.06749999523162842,0.002499997615814209
cifar2_ntrain2000__rep5,FGSM,0.187233105301857,0.949999988079071,0.48817718029022217,0.5475000143051147,0.45249998569488525,0.4024999737739563
cifar2_ntrain2000__rep5,PGD,0.187233105301857,0.949999988079071,0.4461268186569214,0.5475000143051147,0.45249998569488525,0.4024999737739563
cifar2_ntrain2000__rep5,APGD,0.187233105301857,0.949999988079071,0.42435920238494873,0.5475000143051147,0.45249998569488525,0.4024999737739563
cifar2_ntrain2000__rep5,MIM,0.187233105301857,0.949999988079071,0.48861411213874817,0.5475000143051147,0.45249998569488525,0.4024999737739563
cifar2_ntrain2000__rep5,SA,0.187233105301857,0.949999988079071,0.4647153317928314,0.5174999833106995,0.48250001668930054,0.4325000047683716
cifar2_ntrain5000__rep1,FGSM,0.18991778790950775,0.9500000476837158,0.45594707131385803,0.940000057220459,0.059999942779541016,0.009999990463256836
cifar2_ntrain5000__rep1,PGD,0.18991778790950775,0.9500000476837158,0.3785880506038666,0.9430000185966492,0.05699998140335083,0.00700002908706665
cifar2_ntrain5000__rep1,APGD,0.18991778790950775,0.9500000476837158,0.3320116698741913,0.9450000524520874,0.0549999475479126,0.004999995231628418
cifar2_ntrain5000__rep1,MIM,0.18991778790950775,0.9500000476837158,0.45625966787338257,0.940000057220459,0.059999942779541016,0.009999990463256836
cifar2_ntrain5000__rep1,SA,0.18991778790950775,0.9500000476837158,0.3627301752567291,0.9460000395774841,0.05399996042251587,0.0040000081062316895
cifar2_ntrain5000__rep2,FGSM,0.21149782836437225,0.9490000605583191,0.584886372089386,0.6200000047683716,0.3799999952316284,0.3290000557899475
cifar2_ntrain5000__rep2,PGD,0.21149782836437225,0.9490000605583191,0.5179281234741211,0.6890000104904175,0.3109999895095825,0.2600000500679016
cifar2_ntrain5000__rep2,APGD,0.21149782836437225,0.9490000605583191,0.47833406925201416,0.7310000061988831,0.26899999380111694,0.21800005435943604
cifar2_ntrain5000__rep2,MIM,0.21149782836437225,0.9490000605583191,0.584886372089386,0.6200000047683716,0.3799999952316284,0.3290000557899475
cifar2_ntrain5000__rep2,SA,0.21149782836437225,0.9490000605583191,0.5005142092704773,0.6760000586509705,0.32399994134902954,0.27300000190734863
cifar2_ntrain5000__rep3,FGSM,0.22512516379356384,0.9500000476837158,0.5291670560836792,0.9380000233650208,0.06199997663497925,0.012000024318695068
cifar2_ntrain5000__rep3,PGD,0.22512516379356384,0.9500000476837158,0.4835647940635681,0.9410000443458557,0.05899995565414429,0.009000003337860107
cifar2_ntrain5000__rep3,APGD,0.22512516379356384,0.9500000476837158,0.4578090012073517,0.9410000443458557,0.05899995565414429,0.009000003337860107
cifar2_ntrain5000__rep3,MIM,0.22512516379356384,0.9500000476837158,0.5291960835456848,0.9380000233650208,0.06199997663497925,0.012000024318695068
cifar2_ntrain5000__rep3,SA,0.22512516379356384,0.9500000476837158,0.48445162177085876,0.9460000395774841,0.05399996042251587,0.0040000081062316895
cifar2_ntrain5000__rep4,FGSM,0.2151436060667038,0.9340000152587891,0.5375022888183594,0.48000001907348633,0.5199999809265137,0.45399999618530273
cifar2_ntrain5000__rep4,PGD,0.2151436060667038,0.9340000152587891,0.49733492732048035,0.48000001907348633,0.5199999809265137,0.45399999618530273
cifar2_ntrain5000__rep4,APGD,0.2151436060667038,0.9340000152587891,0.47497570514678955,0.48000001907348633,0.5199999809265137,0.45399999618530273
cifar2_ntrain5000__rep4,MIM,0.2151436060667038,0.9340000152587891,0.5375276803970337,0.48000001907348633,0.5199999809265137,0.45399999618530273
cifar2_ntrain5000__rep4,SA,0.2151436060667038,0.9340000152587891,0.517969012260437,0.44200003147125244,0.5579999685287476,0.4919999837875366
cifar2_ntrain5000__rep5,FGSM,0.28066566586494446,0.9140000343322754,0.5858038067817688,0.5200000405311584,0.47999995946884155,0.39399999380111694
cifar2_ntrain5000__rep5,PGD,0.28066566586494446,0.9140000343322754,0.5394070148468018,0.5200000405311584,0.47999995946884155,0.39399999380111694
cifar2_ntrain5000__rep5,APGD,0.28066566586494446,0.9140000343322754,0.5120338201522827,0.5200000405311584,0.47999995946884155,0.39399999380111694
cifar2_ntrain5000__rep5,MIM,0.28066566586494446,0.9140000343322754,0.5869832038879395,0.5200000405311584,0.47999995946884155,0.39399999380111694
cifar2_ntrain5000__rep5,SA,0.28066566586494446,0.9140000343322754,0.5564047694206238,0.4660000205039978,0.5339999794960022,0.4480000138282776
